Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,CropType
0.053694819,0.291389804,0.558701998,0.749662219,0.467028131,0.185089365,0.085545915,0.033773681,0.011030449,potato
0.111013307,0.236574557,0.469418768,0.719399083,0.643462073,0.3855939,0.15875117,0.063756137,0.017715221,potato
-0.021080897,0.224850927,0.496684445,0.724889462,0.545047515,0.263421608,0.107872289,0.059486201,0.019110664,potato
0.051992878,0.312170363,0.567237179,0.738872854,0.507955118,0.23513731,0.119030698,0.09814469,0.091493414,potato
0.304032978,0.345411007,0.374264364,0.398909261,0.356938687,0.316974857,0.308125207,0.286568675,0.27202093,potato
0.076717321,0.281995417,0.532001169,0.771360962,0.704628393,0.479566849,0.231520632,0.129570854,0.088245972,potato
0.052927421,0.289027693,0.554797192,0.773274597,0.599764034,0.294707738,0.129276652,0.097890611,0.086945952,potato
0.06355321,0.302221147,0.560679962,0.786101675,0.665094003,0.356298964,0.142991578,0.087060498,0.065560626,potato
0.080342939,0.227114778,0.477170879,0.752871002,0.755018751,0.573853345,0.318870625,0.13743487,0.026460894,potato
0.172411603,0.398701853,0.658826559,0.598719744,0.274947298,0.174573278,0.19749062,0.32510666,0.401245784,potato
0.041337015,0.153049332,0.349398559,0.617336218,0.49492106,0.226844273,0.106373262,0.042309884,0.013815204,potato
0.0595037,0.248037196,0.513301774,0.759731038,0.531678883,0.213248487,0.158804883,0.23473442,0.294612948,potato
0.831483536,0.721672771,0.686036463,0.6031739,0.428026169,0.36984327,0.397409697,0.397156368,0.392453484,alfalfa hay
0.751376145,0.665096824,0.571495449,0.452808036,0.297656854,0.214243548,0.259722939,0.31339334,0.352422073,alfalfa hay
0.62069297,0.662698852,0.684437982,0.631759887,0.538496108,0.562289063,0.501742669,0.373594179,0.289167037,alfalfa hay
0.731275444,0.637083311,0.564755297,0.543464075,0.566914995,0.524105237,0.438645607,0.378262065,0.354199958,alfalfa hay
0.799198581,0.691502267,0.589843866,0.56980113,0.582362888,0.590506532,0.605155031,0.624381351,0.624821394,alfalfa hay
0.857946097,0.750337141,0.661119575,0.632860727,0.619373094,0.587834185,0.584381095,0.591959715,0.621512816,alfalfa hay
0.757105883,0.755946604,0.731440654,0.695505376,0.629745503,0.569643683,0.532180812,0.532305755,0.530997749,alfalfa hay
0.787781124,0.746166936,0.654487812,0.573697129,0.586417078,0.446162011,0.226685834,0.100712055,0.017110544,alfalfa hay
0.703986265,0.654564642,0.615575299,0.487394058,0.403358407,0.493779876,0.501710552,0.3887346,0.302181898,alfalfa hay
0.769348079,0.779386623,0.773165794,0.756207443,0.681115756,0.616527367,0.599531287,0.621930186,0.628192155,alfalfa hay
0.641826932,0.705250432,0.672864136,0.577920162,0.552059038,0.644060708,0.554057476,0.355878099,0.217469621,alfalfa hay
0.645981065,0.640392973,0.636747568,0.633481953,0.607110806,0.615482858,0.549720658,0.401550067,0.336837927,alfalfa hay
0.713272836,0.647613149,0.597164296,0.592212087,0.535241255,0.507830673,0.419470044,0.226113856,0.124504102,alfalfa hay
0.774511097,0.726632771,0.66403663,0.622744144,0.626703789,0.587934889,0.465941509,0.339773555,0.264636143,alfalfa hay
0.748451665,0.752667571,0.742769715,0.739222746,0.739719988,0.667616782,0.621240184,0.659873746,0.700143959,alfalfa hay
0.808794518,0.797631642,0.775720146,0.75461409,0.728203389,0.638498227,0.467163766,0.393382406,0.356027435,alfalfa hay
0.746552555,0.758415635,0.71247849,0.65688634,0.61173166,0.533304843,0.470770885,0.471202785,0.499713118,alfalfa hay
